GEOID	UTB_RNA	GEOL_CLS	GEOL_VUL	GEOM_CLS	GEOM_VUL	SOLO_CLS	SOLO_VUL	VEGE_CLS	VEGE_VUL	VUL_MED
369	1,46240	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
370	1,46580	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
371	1,46920	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
372	1,47260	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	C-CapoeiraV	1,40000	2,60000
373	1,47600	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
374	1,47940	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
375	1,48280	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
376	1,48620	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
377	1,48960	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
378	1,49300	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
379	1,49640	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
380	1,49980	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
381	1,50320	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
382	1,50660	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
383	1,51000	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
384	1,51340	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
385	1,51680	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
386	1,52020	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
387	1,52360	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
388	1,52700	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
389	1,53040	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
390	1,53380	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
391	1,53720	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
392	1,54060	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
393	1,54400	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
394	1,54740	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
395	1,55080	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
396	1,55420	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
397	1,55760	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
398	1,56100	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
399	1,56440	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
400	1,56780	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
401	1,57120	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
402	1,57460	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
403	1,57800	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
404	1,58140	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	Fapc-Aber_Palm_Cipo_Bambu	0,00000	1,55000
405	1,58480	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
